date,semester,rank,team,acronym,total.points,previous.points,diff.points
2024,2,125,Indonesia,IDN,1135.11,1118.87,16.24
2024,2,126,The Gambia,GAM,1134.69,1125.62,9.07
2024,2,127,India,IND,1133.62,1133.78,-0.16
2024,2,128,Congo,CGO,1132.65,1159.42,-26.77
2024,2,129,Sierra Leone,SLE,1132.06,1149.81,-17.75
2024,2,130,Cyprus,CYP,1131.32,1127.51,3.81
2024,2,131,Malawi,MWI,1129.31,1111.16,18.15
2024,2,132,Malaysia,MAS,1117.05,1113.92,3.13
2024,2,133,Nicaragua,NCA,1114.28,1114.28,0
2024,2,134,Kuwait,KUW,1109.16,1106.42,2.74
2024,2,135,Central African Republic,CTA,1102.23,1125.26,-23.03
2024,2,136,Botswana,BOT,1098.85,1088.45,10.4
2024,2,137,Faroe Islands,FRO,1096.88,1091.52,5.36
2024,2,138,Suriname,SUR,1096.6,1105.29,-8.69
2024,2,139,Burundi,BDI,1087.26,1089.49,-2.23
2024,2,140,Latvia,LVA,1084.11,1093.82,-9.71
2024,2,141,Dominican Republic,DOM,1083.36,1071.88,11.48
2024,2,142,Lithuania,LTU,1069.96,1082.36,-12.4
2024,2,143,Turkmenistan,TKM,1065.42,1065.42,0
2024,2,144,St Kitts and Nevis,SKN,1064.99,1069.25,-4.26
2024,2,145,Liberia,LBR,1063.04,1048.86,14.18
2024,2,146,Ethiopia,ETH,1059.94,1049.28,10.66
2024,2,147,Fiji,FIJ,1049.15,1051.41,-2.26
2024,2,148,Solomon Islands,SOL,1048.75,1050.99,-2.24
2024,2,149,Philippines,PHI,1047.73,1053.09,-5.36
2024,2,150,Lesotho,LES,1046.76,1032.79,13.97
2024,2,151,Moldova,MDA,1045.59,1040.83,4.76
2024,2,152,New Caledonia,NCL,1034.43,1020.83,13.6
2024,2,153,Tahiti,TAH,1031.47,1009.52,21.95
2024,2,154,Guyana,GUY,1030.6,1008.68,21.92
2024,2,155,Afghanistan,AFG,1025,1034.37,-9.37
2024,2,156,"Hong Kong, China",HKG,1024.58,1015.1,9.48
2024,2,157,Puerto Rico,PUR,1022.83,1021.62,1.21
2024,2,158,Yemen,YEM,1017.84,1021.24,-3.4
2024,2,159,Eswatini,SWZ,1015.25,1009.19,6.06
2024,2,160,Antigua and Barbuda,ATG,1010.97,1020.58,-9.61
2024,2,161,Singapore,SGP,1007.83,1008.26,-0.43
2024,2,162,Maldives,MDV,1001.39,1003.48,-2.09
2024,2,163,Vanuatu,VAN,996.21,1015.52,-19.31
2024,2,164,Cuba,CUB,994.43,990.18,4.25
2024,2,165,Chinese Taipei,TPE,990.92,985.66,5.26
2024,2,166,Bermuda,BER,988.19,986.53,1.66
2024,2,167,Myanmar,MYA,986.15,990.98,-4.83
2024,2,168,St Lucia,LCA,985.72,997.86,-12.14
2024,2,169,Malta,MLT,983.95,980.5,3.45
2024,2,170,South Sudan,SSD,973.55,955.67,17.88
2024,2,171,Andorra,AND,971.54,977.96,-6.42
2024,2,172,Papua New Guinea,PNG,963.22,972.32,-9.1
2024,2,173,St Vincent and the Grenadines,VIN,961.92,954.86,7.06
2024,2,174,Grenada,GRN,955.44,947.22,8.22
2024,2,175,Nepal,NEP,939.2,935.93,3.27
2024,2,176,Chad,CHA,935.41,933.39,2.02
2024,2,177,Barbados,BRB,933.3,955.21,-21.91
2024,2,178,Belize,BLZ,925.02,925.02,0
2024,2,179,Mauritius,MRI,923.46,927.57,-4.11
2024,2,180,Cambodia,CAM,921.2,921.2,0
2024,2,181,Montserrat,MSR,914.26,924.14,-9.88
2024,2,182,Bhutan,BHU,904.06,904.06,0
2024,2,183,Dominica,DMA,900,903.54,-3.54
2024,2,184,Brunei Darussalam,BRU,899.87,900.75,-0.88
2024,2,185,Bangladesh,BAN,898.81,896.71,2.1
2024,2,186,Laos,LAO,889.54,889.62,-0.08
2024,2,187,Mongolia,MNG,883.57,883.57,0
2024,2,188,American Samoa,ASA,883.17,883.17,0
2024,2,189,São Tomé and Príncipe,STP,878.09,878.09,0
2024,2,190,Cook Islands,COK,877.53,877.53,0
2024,2,191,Djibouti,DJI,877.37,875.13,2.24
2024,2,192,Samoa,SAM,876.41,890.77,-14.36
2024,2,193,Macau,MAC,871.52,871.52,0
2024,2,194,Cayman Islands,CAY,866.71,866.71,0
2024,2,195,Aruba,ARU,858,863.29,-5.29
2024,2,196,Timor-Leste,TLS,850.83,850.83,0
2024,2,197,Gibraltar,GIB,848.58,848.32,0.26
2024,2,198,Pakistan,PAK,842.59,842.59,0
2024,2,199,Tonga,TGA,835.64,835.64,0
2024,2,200,Sri Lanka,SRI,832.8,829.39,3.41
2024,2,201,Seychelles,SEY,831.19,831.19,0
2024,2,202,Somalia,SOM,829.81,829.81,0
2024,2,203,Guam,GUM,821.91,821.91,0
2024,2,204,Liechtenstein,LIE,821.71,834.15,-12.44
2024,2,205,Bahamas,BAH,818.58,818.58,0
2024,2,206,Turks and Caicos Islands,TCA,803.98,803.98,0
2024,2,207,British Virgin Islands,VGB,780.3,780.3,0
2024,2,208,US Virgin Islands,VIR,779.71,779.71,0
2024,2,209,Anguilla,AIA,769.31,769.31,0
2024,2,210,San Marino,SMR,747.42,737.04,10.38
2023,1,1,Argentina,ARG,1843.73,1843.73,0
2023,1,2,France,FRA,1843.54,1843.54,0
2023,1,3,Brazil,BRA,1828.27,1828.27,0
2023,1,4,England,ENG,1797.39,1797.39,0
2023,1,5,Belgium,BEL,1788.55,1788.55,0
2023,1,6,Croatia,CRO,1742.55,1742.55,0
2023,1,7,Netherlands,NED,1731.23,1731.23,0
2023,1,8,Italy,ITA,1726.58,1726.58,0
2023,1,9,Portugal,POR,1718.25,1718.25,0
2023,1,10,Spain,ESP,1703.45,1703.45,0
2023,1,11,USA,USA,1674.48,1673.34,1.14
2023,1,12,Mexico,MEX,1665.59,1639.19,26.4
2023,1,13,Switzerland,SUI,1661.12,1661.12,0
2023,1,14,Morocco,MAR,1655.5,1655.5,0
2023,1,15,Germany,GER,1636.32,1636.32,0
2023,1,16,Uruguay,URU,1633.13,1633.13,0
2023,1,17,Colombia,COL,1624.91,1624.91,0
2023,1,18,Senegal,SEN,1612.61,1612.61,0
2023,1,19,Denmark,DEN,1597.37,1597.37,0
2023,1,20,Japan,JPN,1595.96,1595.96,0
2023,1,21,Peru,PER,1561.2,1561.2,0
2023,1,22,IR Iran,IRN,1556.59,1556.59,0
2023,1,23,Sweden,SWE,1547.11,1547.11,0
2023,1,24,Ukraine,UKR,1541.25,1541.25,0
2023,1,25,Serbia,SRB,1539.03,1539.03,0
2023,1,26,Poland,POL,1536.99,1536.99,0
2023,1,27,Australia,AUS,1530.45,1530.45,0
2023,1,28,Korea Republic,KOR,1529.3,1529.3,0
2023,1,29,Austria,AUT,1528.06,1528.06,0
2023,1,30,Scotland,SCO,1520.24,1520.24,0
2023,1,31,Tunisia,TUN,1516.66,1516.66,0
2023,1,32,Chile,CHI,1511.31,1511.31,0
2023,1,33,Algeria,ALG,1511.23,1511.23,0
2023,1,34,Egypt,EGY,1509.89,1509.89,0
2023,1,35,Wales,WAL,1506.04,1506.04,0
2023,1,36,Hungary,HUN,1504.57,1504.57,0
2023,1,37,Czechia,CZE,1503.69,1503.69,0
2023,1,38,Russia,RUS,1495.53,1495.53,0
2023,1,39,Nigeria,NGA,1486.48,1486.48,0
2023,1,40,Ecuador,ECU,1486.47,1486.47,0
2023,1,41,Türkiye,TUR,1484.47,1484.47,0
2023,1,42,Cameroon,CMR,1470.97,1470.97,0
2023,1,43,Canada,CAN,1458.58,1454.12,4.46
2023,1,44,Norway,NOR,1458.47,1458.47,0
2023,1,45,Panama,PAN,1453.94,1399.23,54.71
2023,1,46,Costa Rica,CRC,1453.56,1478.3,-24.74
2023,1,47,Slovakia,SVK,1447.05,1447.05,0
2023,1,48,Romania,ROU,1443.98,1443.98,0
2023,1,49,Paraguay,PAR,1442.64,1442.64,0
2023,1,50,Greece,GRE,1441.06,1441.06,0
2023,1,51,Mali,MLI,1438.01,1438.01,0
2023,1,52,Côte d'Ivoire,CIV,1433.38,1433.38,0
2023,1,53,Republic of Ireland,IRL,1426.26,1426.26,0
2023,1,54,Saudi Arabia,KSA,1421.46,1421.46,0
2023,1,55,Finland,FIN,1419.47,1419.47,0
2023,1,56,Burkina Faso,BFA,1419.18,1419.18,0
2023,1,57,Venezuela,VEN,1417.23,1417.23,0
2023,1,58,Jamaica,JAM,1409.73,1367.83,41.9
2023,1,59,Qatar,QAT,1395.57,1393.52,2.05
2023,1,60,Ghana,GHA,1391.13,1391.13,0
2023,1,61,Slovenia,SVN,1391.04,1391.04,0
2023,1,62,Bosnia and Herzegovina,BIH,1381.1,1381.1,0
2023,1,63,South Africa,RSA,1368.25,1369.49,-1.24
2023,1,64,Northern Ireland,NIR,1361.17,1361.17,0
2023,1,65,Albania,ALB,1357.39,1357.39,0
2023,1,66,Cabo Verde,CPV,1354.65,1354.65,0
2023,1,67,Iceland,ISL,1352.98,1352.98,0
2023,1,68,North Macedonia,MKD,1350.53,1350.53,0
2023,1,69,Congo DR,COD,1350.11,1350.11,0
2023,1,70,Iraq,IRQ,1345.21,1345.21,0
2023,1,71,Montenegro,MNE,1343.45,1343.45,0
2023,1,72,United Arab Emirates,UAE,1336.28,1336.28,0
2023,1,73,Oman,OMA,1332.45,1332.45,0
2023,1,74,Uzbekistan,UZB,1327.58,1327.58,0
2023,1,75,El Salvador,SLV,1325.47,1317.64,7.83
2023,1,76,Israel,ISR,1323.81,1323.81,0
2023,1,77,Bulgaria,BUL,1315.48,1315.48,0
2023,1,78,Georgia,GEO,1312.8,1312.8,0
2023,1,79,Honduras,HON,1309.23,1296.42,12.81
2023,1,80,China PR,CHN,1304.78,1304.78,0
2023,1,81,Guinea,GUI,1296.75,1296.75,0
2023,1,82,Jordan,JOR,1296.26,1296.26,0
2023,1,83,Bolivia,BOL,1295.09,1295.09,0
2023,1,84,Zambia,ZAM,1293.77,1290.2,3.57
2023,1,85,Gabon,GAB,1285.25,1285.25,0
2023,1,86,Bahrain,BHR,1282.05,1282.05,0
2023,1,87,Haiti,HAI,1272.64,1275.96,-3.32
2023,1,88,Curaçao,CUW,1267.87,1267.87,0
2023,1,89,Luxembourg,LUX,1262.72,1262.72,0
2023,1,90,Armenia,ARM,1252.6,1252.6,0
2023,1,91,Equatorial Guinea,EQG,1251.83,1251.83,0
2023,1,92,Uganda,UGA,1250.32,1250.32,0
2023,1,93,Benin,BEN,1248.13,1248.13,0
2023,1,94,Syria,SYR,1241.62,1241.62,0
2023,1,95,Vietnam,VIE,1238.23,1238.23,0
2023,1,96,Palestine,PLE,1233.02,1233.02,0
2023,1,97,Kyrgyz Republic,KGZ,1224.8,1224.8,0
2023,1,98,Belarus,BLR,1212.28,1212.28,0
2023,1,99,India,IND,1208.69,1204.9,3.79
2023,1,100,Lebanon,LBN,1205.77,1201.74,4.03
2023,1,101,Mauritania,MTN,1205.18,1205.18,0
2023,1,102,Trinidad and Tobago,TRI,1199.74,1203.28,-3.54
2023,1,103,Aotearoa New Zealand,NZL,1199.04,1199.04,0
2023,1,104,Kazakhstan,KAZ,1198.24,1198.24,0
2023,1,105,Kenya,KEN,1191.07,1191.07,0
2023,1,106,Congo,CGO,1190.63,1190.63,0
2023,1,107,Guatemala,GUA,1186.71,1166.6,20.11
2023,1,108,Madagascar,MAD,1186.09,1186.09,0
2023,1,109,Kosovo,KOS,1179.69,1179.69,0
2023,1,110,Tajikistan,TJK,1179.54,1179.54,0
2023,1,111,Estonia,EST,1179.3,1179.3,0
2023,1,112,Guinea-Bissau,GNB,1178.93,1178.93,0
2023,1,113,Thailand,THA,1174.37,1174.37,0
2023,1,114,Namibia,NAM,1172.41,1175.14,-2.73
2023,1,115,Korea DPR,PRK,1169.96,1169.96,0
2023,1,116,Angola,ANG,1169.07,1170.76,-1.69
2023,1,117,Mozambique,MOZ,1164.25,1165.85,-1.6
2023,1,118,Cyprus,CYP,1163.73,1163.73,0
2023,1,119,The Gambia,GAM,1159.82,1159.82,0
2023,1,120,Sierra Leone,SLE,1156.11,1156.11,0
2023,1,121,Azerbaijan,AZE,1143.22,1143.22,0
2023,1,122,Togo,TOG,1140.88,1140.88,0
2023,1,123,Malawi,MWI,1140.65,1133.17,7.48
2023,1,124,Tanzania,TAN,1138.79,1138.79,0
2023,1,125,Zimbabwe,ZIM,1138.56,1138.56,0
2023,1,126,Central African Republic,CTA,1133.5,1133.5,0
2023,1,127,Libya,LBY,1130.75,1130.75,0
2023,1,128,Niger,NIG,1129.67,1129.67,0
2023,1,129,Faroe Islands,FRO,1126.3,1126.3,0
2023,1,130,Comoros,COM,1119.99,1122.82,-2.83
2023,1,131,Sudan,SDN,1116.21,1116.21,0
2023,1,132,Antigua and Barbuda,ATG,1107.51,1107.51,0
2023,1,133,Solomon Islands,SOL,1097.61,1097.61,0
2023,1,134,Latvia,LVA,1096.19,1096.19,0
2023,1,135,Philippines,PHI,1095.66,1095.66,0
2023,1,136,Malaysia,MAS,1091.57,1091.57,0
2023,1,137,Kuwait,KUW,1090.42,1084.34,6.08
2023,1,138,Turkmenistan,TKM,1089.77,1089.77,0
2023,1,139,Rwanda,RWA,1089.46,1089.46,0
2023,1,140,Burundi,BDI,1085.06,1085.06,0
2023,1,141,Nicaragua,NCA,1076.11,1076.11,0
2023,1,142,Ethiopia,ETH,1074.47,1074.47,0
2023,1,143,Suriname,SUR,1073.57,1073.57,0
2023,1,144,Lithuania,LTU,1069.97,1069.97,0
2023,1,145,St Kitts and Nevis,SKN,1066.81,1092.03,-25.22
2023,1,146,Eswatini,SWZ,1058.19,1058.82,-0.63
2023,1,147,Botswana,BOT,1054.31,1052.37,1.94
2023,1,148,Liberia,LBR,1049.94,1049.94,0
2023,1,149,"Hong Kong, China",HKG,1049.74,1049.74,0
2023,1,150,Indonesia,IDN,1047.46,1047.46,0
2023,1,151,Lesotho,LES,1038.68,1035.1,3.58
2023,1,152,Dominican Republic,DOM,1036.74,1036.74,0
2023,1,153,Chinese Taipei,TPE,1028.18,1028.18,0
2023,1,154,Andorra,AND,1022.3,1022.3,0
2023,1,155,Maldives,MDV,1021.85,1024.72,-2.87
2023,1,156,Yemen,YEM,1020.37,1020.37,0
2023,1,157,Afghanistan,AFG,1020.32,1020.32,0
2023,1,158,Singapore,SGP,1014.78,1014.78,0
2023,1,159,Papua New Guinea,PNG,1003.28,1003.28,0
2023,1,160,Myanmar,MYA,1000.26,1000.26,0
2023,1,161,New Caledonia,NCL,995.58,995.58,0
2023,1,162,Tahiti,TAH,995.11,995.11,0
2023,1,163,Puerto Rico,PUR,993.8,993.8,0
2023,1,164,Moldova,MDA,990.73,990.73,0
2023,1,165,Vanuatu,VAN,986.44,986.44,0
2023,1,166,Barbados,BRB,984.05,984.05,0
2023,1,167,South Sudan,SSD,983.35,983.35,0
2023,1,168,Guyana,GUY,981.69,981.69,0
2023,1,169,Fiji,FIJ,980.48,980.48,0
2023,1,170,St Lucia,LCA,978.91,978.91,0
2023,1,171,Malta,MLT,972.86,972.86,0
2023,1,172,Cuba,CUB,968.29,984.84,-16.55
2023,1,173,Bermuda,BER,966.27,966.27,0
2023,1,174,Grenada,GRN,960.77,960.77,0
2023,1,175,Nepal,NEP,958.05,959.36,-1.31
2023,1,176,Cambodia,CAM,942.97,942.97,0
2023,1,177,Belize,BLZ,939.96,939.96,0
2023,1,178,St Vincent and the Grenadines,VIN,938.28,938.28,0
2023,1,179,Montserrat,MSR,938.02,938.02,0
2023,1,180,Mauritius,MRI,936.09,936.03,0.06
2023,1,181,Chad,CHA,930.22,930.22,0
2023,1,182,Macau,MAC,913.68,913.68,0
2023,1,183,Mongolia,MNG,908.71,908.71,0
2023,1,184,Dominica,DMA,904.88,904.88,0
2023,1,185,Bhutan,BHU,900.65,906.36,-5.71
2023,1,186,São Tomé and Príncipe,STP,900.07,900.07,0
2023,1,187,Laos,LAO,899.58,899.58,0
2023,1,188,Cook Islands,COK,899.33,899.33,0
2023,1,189,Bangladesh,BAN,892.44,889.5,2.94
2023,1,190,Brunei Darussalam,BRU,891.12,891.12,0
2023,1,191,Djibouti,DJI,889.2,889.2,0
2023,1,192,Timor-Leste,TLS,860.45,860.45,0
2023,1,193,Cayman Islands,CAY,859.83,859.83,0
2023,1,194,Seychelles,SEY,856.71,860.13,-3.42
2023,1,195,Eritrea,ERI,855.56,855.56,0
2023,1,196,Somalia,SOM,854.72,854.72,0
2023,1,197,Bahamas,BAH,852.87,852.87,0
2023,1,198,Gibraltar,GIB,851.64,851.64,0
2023,1,199,Aruba,ARU,850.88,850.88,0
2023,1,200,Liechtenstein,LIE,848.82,848.82,0
2023,1,201,Pakistan,PAK,847.67,852.13,-4.46
2023,1,202,Turks and Caicos Islands,TCA,839.39,839.39,0
2023,1,203,Guam,GUM,838.33,838.33,0
2023,1,204,Sri Lanka,SRI,825.25,825.25,0
2023,1,205,US Virgin Islands,VIR,816.59,816.59,0
2023,1,206,British Virgin Islands,VGB,804.11,804.11,0
2023,1,207,Anguilla,AIA,785.69,785.69,0
2023,1,208,San Marino,SMR,753.11,753.11,0
2023,2,1,Argentina,ARG,1855.2,1855.2,0
2023,2,2,France,FRA,1845.44,1845.44,0
2023,2,3,England,ENG,1800.05,1800.05,0
2023,2,4,Belgium,BEL,1798.46,1798.46,0
2023,2,5,Brazil,BRA,1784.09,1784.09,0
2023,2,6,Netherlands,NED,1745.48,1745.48,0
2023,2,7,Portugal,POR,1745.06,1745.06,0
2023,2,8,Spain,ESP,1732.64,1732.64,0
2023,2,9,Italy,ITA,1718.82,1718.82,0
2023,2,10,Croatia,CRO,1717.57,1717.57,0
2023,2,11,Uruguay,URU,1665.99,1665.99,0
2023,2,12,USA,USA,1665.27,1665.27,0
2023,2,13,Morocco,MAR,1661.69,1661.69,0
2023,2,14,Colombia,COL,1655.29,1651.2,4.09
2023,2,15,Mexico,MEX,1652.7,1655.21,-2.51
2023,2,16,Germany,GER,1631.22,1631.22,0
2023,2,17,Japan,JPN,1620.19,1620.19,0
2023,2,18,Switzerland,SUI,1613.44,1613.44,0
2023,2,19,Denmark,DEN,1601.31,1601.31,0
2023,2,20,Senegal,SEN,1594.31,1594.31,0
2023,2,21,IR Iran,IRN,1565.08,1565.08,0
2023,2,22,Ukraine,UKR,1553.35,1553.35,0
2023,2,23,Korea Republic,KOR,1550.65,1550.65,0
2023,2,24,Austria,AUT,1546.1,1546.1,0
2023,2,25,Australia,AUS,1539.22,1539.22,0
2023,2,26,Sweden,SWE,1530.19,1530.19,0
2023,2,27,Hungary,HUN,1525.13,1525.13,0
2023,2,28,Tunisia,TUN,1523.23,1523.23,0
2023,2,29,Wales,WAL,1521.88,1521.88,0
2023,2,30,Algeria,ALG,1520.26,1520.26,0
2023,2,31,Poland,POL,1520.24,1520.24,0
2023,2,32,Ecuador,ECU,1519.2,1519.2,0
2023,2,33,Egypt,EGY,1518.91,1518.91,0
2023,2,34,Serbia,SRB,1517.43,1517.43,0
2023,2,35,Peru,PER,1512.68,1512.68,0
2023,2,36,Scotland,SCO,1506.89,1506.89,0
2023,2,37,Türkiye,TUR,1505.28,1505.28,0
2023,2,38,Russia,RUS,1498.84,1498.84,0
2023,2,39,Czechia,CZE,1494.04,1494.04,0
2023,2,40,Chile,CHI,1489.82,1489.82,0
2023,2,41,Panama,PAN,1475.62,1475.62,0
2023,2,42,Nigeria,NGA,1474.44,1474.44,0
2023,2,43,Romania,ROU,1472.73,1472.73,0
2023,2,44,Norway,NOR,1472.36,1472.36,0
2023,2,45,Slovakia,SVK,1465.73,1465.73,0
2023,2,46,Cameroon,CMR,1463.06,1463.06,0
2023,2,47,Greece,GRE,1453.95,1453.95,0
2023,2,48,Canada,CAN,1453.76,1453.76,0
2023,2,49,Côte d'Ivoire,CIV,1447.65,1447.65,0
2023,2,50,Venezuela,VEN,1447.2,1448.77,-1.57
2023,2,51,Mali,MLI,1445.6,1445.6,0
2023,2,52,Costa Rica,CRC,1437.57,1437.57,0
2023,2,53,Paraguay,PAR,1430.73,1430.73,0
